kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,fp4,fused_qkv_a,1,2112,7168,1,swap_on,8.558,3.5,941.1,0.007229,ok
dense,fp4,fused_qkv_a,1,2112,7168,1,swap_off,10.014,3.0,804.3,0.007229,ok
dense,fp4,fused_qkv_a,4,2112,7168,1,swap_on,8.597,14.1,940.9,0.006981,ok
dense,fp4,fused_qkv_a,4,2112,7168,1,swap_off,9.220,13.1,877.3,0.006981,ok
dense,fp4,fused_qkv_a,8,2112,7168,1,swap_on,8.578,28.2,948.2,0.007033,ok
dense,fp4,fused_qkv_a,8,2112,7168,1,swap_off,8.692,27.9,935.8,0.007033,ok
dense,fp4,fused_qkv_a,16,2112,7168,1,swap_on,8.614,56.2,954.9,0.006992,ok
dense,fp4,fused_qkv_a,16,2112,7168,1,swap_off,8.349,58.0,985.2,0.006992,ok
dense,fp4,fused_qkv_a,64,2112,7168,1,swap_on,8.831,219.4,993.7,0.007073,ok
dense,fp4,fused_qkv_a,64,2112,7168,1,swap_off,8.479,228.5,1034.9,0.007073,ok
dense,fp4,fused_qkv_a,128,2112,7168,1,swap_on,9.020,429.7,1054.1,0.007087,ok
dense,fp4,fused_qkv_a,128,2112,7168,1,swap_off,9.055,428.0,1050.0,0.007087,ok
dense,fp4,q_b_proj,1,3072,1536,1,swap_on,4.318,2.2,582.3,0.006975,ok
dense,fp4,q_b_proj,1,3072,1536,1,swap_off,4.320,2.2,582.0,0.006975,ok
dense,fp4,q_b_proj,4,3072,1536,1,swap_on,4.319,8.7,587.5,0.006997,ok
dense,fp4,q_b_proj,4,3072,1536,1,swap_off,4.321,8.7,587.3,0.006997,ok
dense,fp4,q_b_proj,8,3072,1536,1,swap_on,4.320,17.5,594.5,0.007074,ok
dense,fp4,q_b_proj,8,3072,1536,1,swap_off,4.096,18.4,627.0,0.007074,ok
dense,fp4,q_b_proj,16,3072,1536,1,swap_on,4.320,35.0,608.8,0.007057,ok
dense,fp4,q_b_proj,16,3072,1536,1,swap_off,4.000,37.7,657.5,0.007057,ok
dense,fp4,q_b_proj,64,3072,1536,1,swap_on,4.433,136.3,676.6,0.007041,ok
dense,fp4,q_b_proj,64,3072,1536,1,swap_off,3.936,153.5,762.0,0.007041,ok
dense,fp4,q_b_proj,128,3072,1536,1,swap_on,4.544,265.9,768.4,0.007023,ok
dense,fp4,q_b_proj,128,3072,1536,1,swap_off,4.223,286.0,826.7,0.007023,ok
dense,fp4,o_proj,1,7168,2048,1,swap_on,4.769,6.2,1638.7,0.006916,ok
dense,fp4,o_proj,1,7168,2048,1,swap_off,5.248,5.6,1489.2,0.006916,ok
dense,fp4,o_proj,4,7168,2048,1,swap_on,4.800,24.5,1638.4,0.006869,ok
dense,fp4,o_proj,4,7168,2048,1,swap_off,5.248,22.4,1498.4,0.006869,ok
dense,fp4,o_proj,8,7168,2048,1,swap_on,4.797,49.0,1653.1,0.006897,ok
dense,fp4,o_proj,8,7168,2048,1,swap_off,4.928,47.7,1609.2,0.006897,ok
dense,fp4,o_proj,16,7168,2048,1,swap_on,4.800,97.9,1679.4,0.007019,ok
dense,fp4,o_proj,16,7168,2048,1,swap_off,4.831,97.2,1668.6,0.007019,ok
dense,fp4,o_proj,64,7168,2048,1,swap_on,5.058,371.5,1749.4,0.007033,ok
dense,fp4,o_proj,64,7168,2048,1,swap_off,4.640,405.0,1907.0,0.007033,ok
dense,fp4,o_proj,128,7168,2048,1,swap_on,5.441,690.8,1819.3,0.007036,ok
dense,fp4,o_proj,128,7168,2048,1,swap_off,5.024,748.0,1970.1,0.007036,ok
dense,fp4,indexer_wq_b,1,8192,1536,1,swap_on,4.384,5.7,1528.9,0.007108,ok
dense,fp4,indexer_wq_b,1,8192,1536,1,swap_off,4.671,5.4,1434.9,0.007108,ok
dense,fp4,indexer_wq_b,4,8192,1536,1,swap_on,4.382,23.0,1541.9,0.007057,ok
dense,fp4,indexer_wq_b,4,8192,1536,1,swap_off,4.640,21.7,1456.1,0.007057,ok
dense,fp4,indexer_wq_b,8,8192,1536,1,swap_on,4.383,45.9,1557.9,0.007071,ok
dense,fp4,indexer_wq_b,8,8192,1536,1,swap_off,4.416,45.6,1546.2,0.007071,ok
dense,fp4,indexer_wq_b,16,8192,1536,1,swap_on,4.382,91.9,1591.0,0.007062,ok
dense,fp4,indexer_wq_b,16,8192,1536,1,swap_off,4.415,91.2,1579.2,0.007062,ok
dense,fp4,indexer_wq_b,64,8192,1536,1,swap_on,4.672,344.7,1676.4,0.007051,ok
dense,fp4,indexer_wq_b,64,8192,1536,1,swap_off,4.193,384.1,1868.0,0.007051,ok
dense,fp4,indexer_wq_b,128,8192,1536,1,swap_on,5.023,641.3,1787.8,0.007037,ok
dense,fp4,indexer_wq_b,128,8192,1536,1,swap_off,4.448,724.2,2018.9,0.007037,ok
dense,fp4,indexer_wk_wproj,1,192,7168,1,swap_on,8.769,0.3,84.2,0.007304,ok
dense,fp4,indexer_wk_wproj,1,192,7168,1,swap_off,7.841,0.4,94.2,0.007304,ok
dense,fp4,indexer_wk_wproj,4,192,7168,1,swap_on,8.804,1.3,86.5,0.007688,ok
dense,fp4,indexer_wk_wproj,4,192,7168,1,swap_off,7.840,1.4,97.1,0.007688,ok
dense,fp4,indexer_wk_wproj,8,192,7168,1,swap_on,8.804,2.5,90.0,0.007630,ok
dense,fp4,indexer_wk_wproj,8,192,7168,1,swap_off,7.883,2.8,100.5,0.007630,ok
dense,fp4,indexer_wk_wproj,16,192,7168,1,swap_on,8.768,5.0,97.3,0.007472,ok
dense,fp4,indexer_wk_wproj,16,192,7168,1,swap_off,7.838,5.6,108.8,0.007472,ok
dense,fp4,indexer_wk_wproj,64,192,7168,1,swap_on,8.833,19.9,137.9,0.007144,ok
dense,fp4,indexer_wk_wproj,64,192,7168,1,swap_off,7.872,22.4,154.7,0.007144,ok
dense,fp4,indexer_wk_wproj,128,192,7168,1,swap_on,8.959,39.3,190.3,0.007034,ok
dense,fp4,indexer_wk_wproj,128,192,7168,1,swap_off,8.511,41.4,200.3,0.007034,ok
dense,fp4,dense_mlp_gate_up,1,4608,7168,1,swap_on,9.056,7.3,1939.3,0.007317,ok
dense,fp4,dense_mlp_gate_up,1,4608,7168,1,swap_off,10.336,6.4,1699.3,0.007317,ok
dense,fp4,dense_mlp_gate_up,4,4608,7168,1,swap_on,9.089,29.1,1937.8,0.007115,ok
dense,fp4,dense_mlp_gate_up,4,4608,7168,1,swap_off,10.212,25.9,1724.7,0.007115,ok
dense,fp4,dense_mlp_gate_up,8,4608,7168,1,swap_on,9.085,58.2,1945.9,0.007093,ok
dense,fp4,dense_mlp_gate_up,8,4608,7168,1,swap_off,9.312,56.8,1898.5,0.007093,ok
dense,fp4,dense_mlp_gate_up,16,4608,7168,1,swap_on,9.091,116.3,1959.1,0.007026,ok
dense,fp4,dense_mlp_gate_up,16,4608,7168,1,swap_off,8.802,120.1,2023.4,0.007026,ok
dense,fp4,dense_mlp_gate_up,64,4608,7168,1,swap_on,9.504,444.9,1957.0,0.007048,ok
dense,fp4,dense_mlp_gate_up,64,4608,7168,1,swap_off,8.736,484.0,2129.1,0.007048,ok
dense,fp4,dense_mlp_gate_up,128,4608,7168,1,swap_on,9.675,873.9,2031.1,0.007063,ok
dense,fp4,dense_mlp_gate_up,128,4608,7168,1,swap_off,9.790,863.7,2007.3,0.007063,ok
dense,fp4,dense_mlp_down,1,7168,2304,1,swap_on,5.023,6.6,1750.0,0.006866,ok
dense,fp4,dense_mlp_down,1,7168,2304,1,swap_off,5.697,5.8,1543.0,0.006866,ok
dense,fp4,dense_mlp_down,4,7168,2304,1,swap_on,5.013,26.4,1763.5,0.006977,ok
dense,fp4,dense_mlp_down,4,7168,2304,1,swap_off,5.630,23.5,1570.2,0.006977,ok
dense,fp4,dense_mlp_down,8,7168,2304,1,swap_on,5.025,52.6,1772.5,0.007079,ok
dense,fp4,dense_mlp_down,8,7168,2304,1,swap_off,5.151,51.3,1729.0,0.007079,ok
dense,fp4,dense_mlp_down,16,7168,2304,1,swap_on,5.057,104.5,1787.7,0.007093,ok
dense,fp4,dense_mlp_down,16,7168,2304,1,swap_off,5.023,105.2,1799.8,0.007093,ok
dense,fp4,dense_mlp_down,64,7168,2304,1,swap_on,5.312,398.0,1852.4,0.007048,ok
dense,fp4,dense_mlp_down,64,7168,2304,1,swap_off,4.928,429.0,1996.7,0.007048,ok
dense,fp4,dense_mlp_down,128,7168,2304,1,swap_on,5.759,734.1,1893.8,0.007049,ok
dense,fp4,dense_mlp_down,128,7168,2304,1,swap_off,5.280,800.7,2065.6,0.007049,ok
dense,fp4,shared_expert_gate_up,1,4096,7168,1,swap_on,9.055,6.5,1724.3,0.007407,ok
dense,fp4,shared_expert_gate_up,1,4096,7168,1,swap_off,10.072,5.8,1550.1,0.007407,ok
dense,fp4,shared_expert_gate_up,4,4096,7168,1,swap_on,9.056,25.9,1729.1,0.007089,ok
dense,fp4,shared_expert_gate_up,4,4096,7168,1,swap_off,10.016,23.5,1563.4,0.007089,ok
dense,fp4,shared_expert_gate_up,8,4096,7168,1,swap_on,9.038,52.0,1739.3,0.007096,ok
dense,fp4,shared_expert_gate_up,8,4096,7168,1,swap_off,9.056,51.9,1736.0,0.007096,ok
dense,fp4,shared_expert_gate_up,16,4096,7168,1,swap_on,9.056,103.7,1749.6,0.007031,ok
dense,fp4,shared_expert_gate_up,16,4096,7168,1,swap_off,8.512,110.4,1861.4,0.007031,ok
dense,fp4,shared_expert_gate_up,64,4096,7168,1,swap_on,9.472,396.8,1750.9,0.007062,ok
dense,fp4,shared_expert_gate_up,64,4096,7168,1,swap_off,8.637,435.1,1920.1,0.007062,ok
dense,fp4,shared_expert_gate_up,128,4096,7168,1,swap_on,9.662,777.9,1818.5,0.007069,ok
dense,fp4,shared_expert_gate_up,128,4096,7168,1,swap_off,9.574,785.1,1835.3,0.007069,ok
dense,fp4,kv_b_proj,1,4096,512,1,swap_on,3.295,1.3,340.8,0.007062,ok
dense,fp4,kv_b_proj,1,4096,512,1,swap_off,3.264,1.3,344.0,0.007062,ok
dense,fp4,kv_b_proj,4,4096,512,1,swap_on,3.297,5.1,348.5,0.007129,ok
dense,fp4,kv_b_proj,4,4096,512,1,swap_off,3.232,5.2,355.5,0.007129,ok
dense,fp4,kv_b_proj,8,4096,512,1,swap_on,3.297,10.2,359.0,0.006981,ok
dense,fp4,kv_b_proj,8,4096,512,1,swap_off,3.326,10.1,355.9,0.006981,ok
dense,fp4,kv_b_proj,16,4096,512,1,swap_on,3.298,20.3,380.1,0.007036,ok
dense,fp4,kv_b_proj,16,4096,512,1,swap_off,3.200,21.0,391.7,0.007036,ok
dense,fp4,kv_b_proj,64,4096,512,1,swap_on,3.424,78.4,488.1,0.007047,ok
dense,fp4,kv_b_proj,64,4096,512,1,swap_off,3.101,86.6,539.0,0.007047,ok
dense,fp4,kv_b_proj,128,4096,512,1,swap_on,3.584,149.8,621.9,0.007050,ok
dense,fp4,kv_b_proj,128,4096,512,1,swap_off,3.136,171.2,710.7,0.007050,ok
dense,fp4,lm_head,1,16160,7168,1,swap_on,9.934,23.3,6198.6,0.007145,ok
dense,fp4,lm_head,1,16160,7168,1,swap_off,15.248,15.2,4038.4,0.007145,ok
dense,fp4,lm_head,4,16160,7168,1,swap_on,9.660,95.9,6386.7,0.007074,ok
dense,fp4,lm_head,4,16160,7168,1,swap_off,15.172,61.1,4066.4,0.007074,ok
dense,fp4,lm_head,8,16160,7168,1,swap_on,8.992,206.1,6878.7,0.007058,ok
dense,fp4,lm_head,8,16160,7168,1,swap_off,12.608,147.0,4905.9,0.007058,ok
dense,fp4,lm_head,16,16160,7168,1,swap_on,8.931,415.1,6961.5,0.007043,ok
dense,fp4,lm_head,16,16160,7168,1,swap_off,11.713,316.5,5307.8,0.007043,ok
dense,fp4,lm_head,64,16160,7168,1,swap_on,10.021,1479.6,6393.4,0.007051,ok
dense,fp4,lm_head,64,16160,7168,1,swap_off,12.285,1206.9,5215.1,0.007051,ok
dense,fp4,lm_head,128,16160,7168,1,swap_on,12.895,2299.6,5164.7,0.007050,ok
dense,fp4,lm_head,128,16160,7168,1,swap_off,12.579,2357.4,5294.5,0.007050,ok
dense,fp4,mtp_eh_proj,1,7168,14336,1,swap_on,15.232,13.5,3585.9,0.007137,ok
dense,fp4,mtp_eh_proj,1,7168,14336,1,swap_off,22.478,9.1,2429.9,0.007137,ok
dense,fp4,mtp_eh_proj,4,7168,14336,1,swap_on,15.246,53.9,3588.1,0.007012,ok
dense,fp4,mtp_eh_proj,4,7168,14336,1,swap_off,20.255,40.6,2700.9,0.007012,ok
dense,fp4,mtp_eh_proj,8,7168,14336,1,swap_on,15.200,108.2,3606.7,0.007061,ok
dense,fp4,mtp_eh_proj,8,7168,14336,1,swap_off,17.663,93.1,3103.7,0.007061,ok
dense,fp4,mtp_eh_proj,16,7168,14336,1,swap_on,15.264,215.4,3606.7,0.007078,ok
dense,fp4,mtp_eh_proj,16,7168,14336,1,swap_off,15.840,207.6,3475.5,0.007078,ok
dense,fp4,mtp_eh_proj,64,7168,14336,1,swap_on,15.792,832.9,3573.6,0.007053,ok
dense,fp4,mtp_eh_proj,64,7168,14336,1,swap_off,15.872,828.7,3555.5,0.007053,ok
dense,fp4,mtp_eh_proj,128,7168,14336,1,swap_on,16.481,1596.2,3535.9,0.007054,ok
dense,fp4,mtp_eh_proj,128,7168,14336,1,swap_off,17.041,1543.7,3419.7,0.007054,ok
dense,fp4,q_b_proj_tp1,1,24576,1536,1,swap_on,5.904,12.8,3405.0,0.006964,ok
dense,fp4,q_b_proj_tp1,1,24576,1536,1,swap_off,6.176,12.2,3255.3,0.006964,ok
dense,fp4,q_b_proj_tp1,8,24576,1536,1,swap_on,5.824,103.7,3513.0,0.007034,ok
dense,fp4,q_b_proj_tp1,8,24576,1536,1,swap_off,5.952,101.5,3437.4,0.007034,ok
dense,fp4,q_b_proj_tp1,64,24576,1536,1,swap_on,6.656,725.9,3500.4,0.007037,ok
dense,fp4,q_b_proj_tp1,64,24576,1536,1,swap_off,5.984,807.5,3893.5,0.007037,ok
dense,fp4,kv_b_proj_tp1,1,32768,512,1,swap_on,4.095,8.2,2192.7,0.006967,ok
dense,fp4,kv_b_proj_tp1,1,32768,512,1,swap_off,4.704,7.1,1908.8,0.006967,ok
dense,fp4,kv_b_proj_tp1,8,32768,512,1,swap_on,4.032,66.6,2341.9,0.007017,ok
dense,fp4,kv_b_proj_tp1,8,32768,512,1,swap_off,4.768,56.3,1980.1,0.007017,ok
dense,fp4,kv_b_proj_tp1,64,32768,512,1,swap_on,4.816,445.9,2728.2,0.007045,ok
dense,fp4,kv_b_proj_tp1,64,32768,512,1,swap_off,4.800,447.4,2737.5,0.007045,ok
dense,fp4,o_proj_tp1,1,7168,16384,1,swap_on,17.025,13.8,3666.3,0.006959,ok
dense,fp4,o_proj_tp1,1,7168,16384,1,swap_off,23.457,10.0,2661.1,0.006959,ok
dense,fp4,o_proj_tp1,8,7168,16384,1,swap_on,16.960,110.8,3693.2,0.007015,ok
dense,fp4,o_proj_tp1,8,7168,16384,1,swap_off,17.663,106.4,3546.2,0.007015,ok
dense,fp4,o_proj_tp1,64,7168,16384,1,swap_on,17.696,849.5,3637.2,0.007050,ok
dense,fp4,o_proj_tp1,64,7168,16384,1,swap_off,17.695,849.6,3637.5,0.007050,ok
