kind,dtype,name,m_or_expected_m,n,k,groups,mode,time_us,tflops,gbps,diff,status
dense,fp4,fused_qkv_a,1,2112,7168,1,swap_on,9.952,3.0,809.3,0.007229,ok
dense,fp4,fused_qkv_a,1,2112,7168,1,swap_off,10.720,2.8,751.3,0.007229,ok
dense,fp4,fused_qkv_a,4,2112,7168,1,swap_on,9.984,12.1,810.1,0.006981,ok
dense,fp4,fused_qkv_a,4,2112,7168,1,swap_off,10.256,11.8,788.6,0.006981,ok
dense,fp4,fused_qkv_a,8,2112,7168,1,swap_on,10.000,24.2,813.4,0.007033,ok
dense,fp4,fused_qkv_a,8,2112,7168,1,swap_off,9.760,24.8,833.4,0.007033,ok
dense,fp4,fused_qkv_a,16,2112,7168,1,swap_on,10.048,48.2,818.7,0.006992,ok
dense,fp4,fused_qkv_a,16,2112,7168,1,swap_off,9.473,51.1,868.4,0.006992,ok
dense,fp4,fused_qkv_a,64,2112,7168,1,swap_on,10.064,192.5,871.9,0.007073,ok
dense,fp4,fused_qkv_a,64,2112,7168,1,swap_off,9.600,201.9,914.1,0.007073,ok
dense,fp4,fused_qkv_a,128,2112,7168,1,swap_on,10.272,377.3,925.6,0.007087,ok
dense,fp4,fused_qkv_a,128,2112,7168,1,swap_off,10.224,379.1,930.0,0.007087,ok
dense,fp4,q_b_proj,1,3072,1536,1,swap_on,5.376,1.8,467.7,0.006975,ok
dense,fp4,q_b_proj,1,3072,1536,1,swap_off,5.280,1.8,476.2,0.006975,ok
dense,fp4,q_b_proj,4,3072,1536,1,swap_on,5.344,7.1,474.8,0.006997,ok
dense,fp4,q_b_proj,4,3072,1536,1,swap_off,5.311,7.1,477.8,0.006997,ok
dense,fp4,q_b_proj,8,3072,1536,1,swap_on,5.376,14.0,477.7,0.007074,ok
dense,fp4,q_b_proj,8,3072,1536,1,swap_off,5.216,14.5,492.4,0.007074,ok
dense,fp4,q_b_proj,16,3072,1536,1,swap_on,5.376,28.1,489.2,0.007057,ok
dense,fp4,q_b_proj,16,3072,1536,1,swap_off,5.184,29.1,507.3,0.007057,ok
dense,fp4,q_b_proj,64,3072,1536,1,swap_on,5.409,111.7,554.5,0.007041,ok
dense,fp4,q_b_proj,64,3072,1536,1,swap_off,5.200,116.1,576.7,0.007041,ok
dense,fp4,q_b_proj,128,3072,1536,1,swap_on,5.567,217.0,627.1,0.007023,ok
dense,fp4,q_b_proj,128,3072,1536,1,swap_off,5.184,233.0,673.5,0.007023,ok
dense,fp4,o_proj,1,7168,2048,1,swap_on,6.639,4.4,1177.1,0.006916,ok
dense,fp4,o_proj,1,7168,2048,1,swap_off,6.816,4.3,1146.6,0.006916,ok
dense,fp4,o_proj,4,7168,2048,1,swap_on,6.704,17.5,1173.1,0.006869,ok
dense,fp4,o_proj,4,7168,2048,1,swap_off,6.847,17.2,1148.5,0.006869,ok
dense,fp4,o_proj,8,7168,2048,1,swap_on,6.721,34.9,1179.9,0.006897,ok
dense,fp4,o_proj,8,7168,2048,1,swap_off,6.847,34.3,1158.2,0.006897,ok
dense,fp4,o_proj,16,7168,2048,1,swap_on,6.655,70.6,1211.2,0.007019,ok
dense,fp4,o_proj,16,7168,2048,1,swap_off,6.800,69.1,1185.6,0.007019,ok
dense,fp4,o_proj,64,7168,2048,1,swap_on,6.880,273.1,1286.1,0.007033,ok
dense,fp4,o_proj,64,7168,2048,1,swap_off,6.592,285.0,1342.2,0.007033,ok
